title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
Walt Whitman,A Life,Justin Kaplan,Biography & Autobiography,http://books.google.com/books/content?id=BMLXGLY9OzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Whitman's genius, passions, poetry, and androgynous sensibility entwined to create an exuberant life amid the turbulent American mid-nineteenth century. In vivid detail, Kaplan examines the mysterious selves of the enigmatic man who celebrated the freedom and dignity of the individual and sang the praises of democracy and the brotherhood of man.",2003,3.99,464,210
How to Make Love Like a Porn Star,A Cautionary Tale,Jenna Jameson;Neil Strauss,Biography & Autobiography,http://books.google.com/books/content?id=qjZzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When the stewardess brought me off the plane in a wheelchair, I lowered my head. I was too scared to even look at my father. I didn't want to see the disappointment and horror on his face. All that hate I had accumulated for him over the years, all the resentment against him for not understanding what I was going through, just released with the tears. ""So, where are your parents?"" the stewardess asked me after a few minutes. ""I can't wait here with you much longer."" I looked up and wiped my eyes. My father was standing ten feet away. He didn't even recognize me. In the underbelly of Las Vegas, a cesspool of warring biker gangs and seedy strip clubs transformed the gawky, brace-faced Jenna Massoli into the bombshell Jenna Jameson. Today, Jenna Jameson is the biggest star in the history of adult movies, consistently ranked as one of the most beautiful women alive. But behind the glamour and the meteoric rise to fame was a path paved with tragedy and heartbreak. As a teenager drawn into a chaotic world ruled by rape, abuse, and murder, Jenna plunged into a downward spiral of addiction, even as she became one of the most photographed women in adult magazines. Determined to overcome this past, Jenna rebounded in the adult-film business, where she encountered sadistic directors, experienced lovers of both sexes, amorous celebrities (from Howard Stern to Marilyn Manson to Tommy Lee), bitter rival starlets, and finally, glory, as she went on to become the biggest porn star the world has ever seen. But her struggle for happiness did not end when the accolades began. For years she wrestled with her resentment at her estranged father, the loneliness of growing up from the age of two without a mother, and her enduring childhood desire to find a man who could give her the security and love she never had. Her unforgettable memoir is many things at once: a shocking sexual history, an insider's guide to the secret workings of the billion-dollar adult-film industry, and a gripping thriller that probes deep into Jenna's dark past. An unparalleled exploration of sexual freedom, How to Make Love Like a Porn Star ventures far beyond the flesh, into the heart-shredding tragedies and adrenaline-pumping triumphs of a woman who has already lived a hundred lifetimes. Always witty and humorous even as she faces the demons of her past, Jenna offers hilarious anecdotes about one of the most controversial businesses in history, and shares outrageous advice, including her ten commandments of dating and sex, how to become a ""suitcase pimp,"" and how to make it in the business as a female (or a male). Add to this never-before-seen photographs from Jenna's private collection and others taken exclusively for this book, and the result is certain to be one of the most talked-about books of the year.",2004,3.75,592,10211
The Outsider,,Richard Wright,Fiction,http://books.google.com/books/content?id=aWtIFc7kdzsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Cross Damon, trapped within his own blackness, flees from Chicago's South Side to Harlem, where he joins the Communist Party.",1953,4.16,672,1736
1421,The Year China Discovered America,Gavin Menzies,History,http://books.google.com/books/content?id=lD7S4QLUjBkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Based on 15 years of in-depth research, ""1421"" traces the voyages of an extraordinary fleet of Chinese ships, whose crews actually charted America 70 years before Columbus. Four 8-page color inserts. 37 maps & diagrams.",2004,3.59,650,11289
The Andromeda Strain,,Michael Crichton,Fiction,http://books.google.com/books/content?id=k6LVNLM_D-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A team of scientists struggles to define and contain a deadly bacteria brought back from outer space by a satellite.,2003,3.89,327,192637
Congo,,Michael Crichton,Fiction,http://books.google.com/books/content?id=Gp-fLBIrNY4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj. Reprint.",2003,3.58,442,140223
Johnny and the Dead,,Terry Pratchett,Juvenile Fiction,http://books.google.com/books/content?id=HgU8rJfsHmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.",2006,3.78,213,7733
Amelia Bedelia 40th Anniversary Collection,,Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=OzUIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Everyone's favorite literal-minded housekeeper, Amelia Bedelia, celebrates her 40th Anniversary in a three-book I Can Read box set.",2003,4.41,96,256
The Girls of Lighthouse Lane #3,Lizabeth's Story,Thomas Kinkade;Erika Tamar,Juvenile Fiction,http://books.google.com/books/content?id=2LXIPoESG9kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During a scarlet fever outbreak in 1906, thirteen-year-old Lizabeth must decide whether it is more important to be Strawberry Queen or to be at the bedside of her younger sister, who is ill.",2005,3.96,192,24
The Bradbury Chronicles,The Life of Ray Bradbury,Sam Weller,Biography & Autobiography,http://books.google.com/books/content?id=EiWCIK4vGSMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Accomplished journalist Sam Weller met the Ray Bradbury while writing a cover story for the Chicago Tribune Magazine and spent hundreds of hours interviewing Bradbury, his editors, family members, and longtime friends. With unprecedented access to private archives, he uncovered never?밷efore?뱎ublished letters, documents, and photographs that help tell the story of this literary genius and his remarkable creative journey. The result is a richly textured, detailed biography that illuminates the origins and accomplishments of Bradbury's fascinating mind.",2006,4.22,384,352
Three Rotten Eggs,,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=t2pWlCpY3jQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The students of Miss Earth's class in rural Vermont experience an eventful spring when they become involved with a bullying new student, a competitive egg hunt, and genetically altered chicks.",2005,3.74,240,76
The Wicked Day,Book Four of the Arthurian Saga,Mary Stewart,Fiction,http://books.google.com/books/content?id=znM3Eb8MZiMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Born of an incestuous relationship between King Arthur and his half sister, the evil sorceress Morgause, the bastard Mordred is reared in secrecy. Called to Camelot by events he cannot deny, Mordred becomes Arthur?셲 most trusted counselor -- a fateful act that leads to the ""wicked day of destiny"" when father and son must face each other in battle.",2003,4.09,417,9875
The Game,Penetrating the Secret Society of Pickup Artists,Neil Strauss,Biography & Autobiography,http://books.google.com/books/content?id=ibpvw3wALXcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Hidden somewhere, in nearly every major city in the world, is an underground seduction lair. And in these lairs, men trade the most devastatingly effective techniques ever invented to charm women. This is not fiction. These men really exist. They live together in houses known as Projects. And Neil Strauss, the bestselling author, spent two years living among them, using the pseudonym Style to protect his real-life identity. The result is one of the most explosive and controversial books of the year -- guaranteed to change the lives of men and transform the way women understand the opposite sex forever. On his journey from AFC (average frustrated chump) to PUA (pick-up artist) to PUG (pick-up guru), Strauss not only shares scores of original seduction techniques but also has unforgettable encounters with the likes of Tom Cruise, Britney Spears, Paris Hilton, Heidi Fleiss, and Courtney Love. And then things really start to get strange -- and passions lead to betrayals lead to violence. The Game is the story of one man's transformation from frog to prince -- to prisoner in the most unforgettable book of the year.",2005,3.74,464,19305
"The Lion, the Witch and the Wardrobe (picture book edition)",,C. S. Lewis,Juvenile Fiction,http://books.google.com/books/content?id=FlSpprTpj-QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Narnia: A magical land full of wonder and excitement. A place where you will meet Aslan, the bravest of lions, and a beautiful but wicked Witch. There are lots of other fabulous creatures too: giants and dwarfs and animals that talk. It all begins when four children -- Peter, Susan, Edmund, and Lucy -- discover a strange old wardrobe. Stepping inside, they find that it's stranger still, because behind all the fur coats there is a wondrous land of trees and mountains, all glistening with snow. The White Witch has spread an icy winter everywhere. Only Aslan can defeat her and reverse her wicked spell. The children must find the lion before it is too late. If they fail, the Witch will make them her prisoners forever. In the fifty years since it was written, The Lion, the Witch And the Wardrobe has become one of the great classics of children's literature. Now younger children can share the magical experience, stepping into a world of enchantment that will forever lure them back.",2004,4.19,48,5012
Gold,The Final Science Fiction Collection,Isaac Asimov,Fiction,http://books.google.com/books/content?id=td_ulwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Gold is the final and crowning achievement of the fifty-year career of science fiction's transcendent genius, the world-famous author who defined the field of science fiction for its practitioners, its millions of readers, and the world at large. The first section contains stories that range from the humorous to the profound, at the heart of which is the title story, ""Gold,"" a moving and revealing drama about a writer who gambles everything on a chance at immortality: a gamble Asimov himself made -- and won. The second section contains the grand master's ruminations on the SF genre itself. And the final section is comprised of Asimov's thoughts on the craft and writing of science fiction.",2003,3.99,416,2393
The Kindness of Strangers,,Katrina Kittle,Fiction,http://books.google.com/books/content?id=nDhTBtlsnggC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young widow raising two boys, Sarah Laden is struggling to keep her family together. But when a shocking revelation rips apart the family of her closest friend, Sarah finds herself welcoming yet another troubled young boy into her already tumultuous life. Jordan, a quiet, reclusive elementary school classmate of Sarah's son Danny, has survived a terrible ordeal. By agreeing to become Jordan's foster mother, Sarah will be forced to question the things she has long believed. And as the delicate threads that bind their family begin to unravel, all the Ladens will have to face difficult truths about themselves and one another?봞nd discover the power of love necessary to forgive and to heal.",2007,4.01,400,11432
Built to Last,Successful Habits of Visionary Companies,Jim Collins;Jerry I. Porras,Business & Economics,http://books.google.com/books/content?id=lRNtHbvDgRgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""This is not a book about charismatic visionary leaders. It is not about visionary product concepts or visionary products or visionary market insights. Nor is it about just having a corporate vision. This is a book about something far more important, enduring, and substantial. This is a book about visionary companies."" So write Jim Collins and Jerry Porras in this groundbreaking book that shatters myths, provides new insights, and gives practical guidance to those who would like to build landmark companies that stand the test of time. Drawing upon a six-year research project at the Stanford University Graduate School of Business, Collins and Porras took eighteen truly exceptional and long-lasting companies -- they have an average age of nearly one hundred years and have outperformed the general stock market by a factor of fifteen since 1926 -- and studied each company in direct comparison to one of its top competitors. They examined the companies from their very beginnings to the present day -- as start-ups, as midsize companies, and as large corporations. Throughout, the authors asked: ""What makes the truly exceptional companies different from other companies?"" What separates General Electric, 3M, Merck, Wal-Mart, Hewlett-Packard, Walt Disney, and Philip Morris from their rivals? How, for example, did Procter & Gamble, which began life substantially behind rival Colgate, eventually prevail as the premier institution in its industry? How was Motorola able to move from a humble battery repair business into integrated circuits and cellular communications, while Zenith never became dominant in anything other than TVs? How did Boeing unseat McDonnell Douglas as the world's best commercial aircraft company -- what did Boeing have that McDonnell Douglas lacked? By answering such questions, Collins and Porras go beyond the incessant barrage of management buzzwords and fads of the day to discover timeless qualities that have consistently distinguished out-standing companies. They also provide inspiration to all executives and entrepreneurs by destroying the false but widely accepted idea that only charismatic visionary leaders can build visionary companies. Filled with hundreds of specific examples and organized into a coherent framework of practical concepts that can be applied by managers and entrepreneurs at all levels, Built to Last provides a master blueprint for building organizations that will prosper long into the twenty-first century and beyond.",2004,3.98,368,49529
Fluke,"Or, I Know Why the Winged Whale Sings",Christopher Moore,Fiction,http://books.google.com/books/content?id=pIHvlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Just why do humpback whales sing? That's the question that has marine behavioral biologist Nate Quinn and his crew poking, charting, recording, and photographing very big, wet, gray marine mammals. Until the extraordinary day when a whale lifts its tail into the air to display a cryptic message spelled out in foot-high letters: Bite me. Trouble is, Nate's beginning to wonder if he hasn't spent just a little too much time in the sun. 'Cause no one else on his team saw a thing -- not his longtime partner, Clay Demodocus; not their saucy young research assistant; not even the spliff-puffing white-boy Rastaman Kona (n챕 Preston Applebaum). But later, when a roll of film returns from the lab missing the crucial tail shot -- and his research facility is trashed -- Nate realizes something very fishy indeed is going on. By turns witty, irreverent, fascinating, puzzling, and surprising, Fluke is Christopher Moore at his outrageous best.",2004,3.75,321,34773
Lord of Light,,Roger Zelazny,Fiction,http://books.google.com/books/content?id=08b2Nzn-mRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Earth is long since dead. On a colony planet, a band of men has gained control of technology, made themselves immortal, and now rules their world as the gods of the Hindu pantheon. Only one dares oppose them: he who was once Siddhartha and is now Mahasamatman. Binder of Demons. Lord of Light.",2004,4.1,296,22530
The Perennial Philosophy,,Aldous Huxley,Philosophy,http://books.google.com/books/content?id=YdaFEb_LE9YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Perennial Philosophy is defined by its author as ""The metaphysic that recognizes a divine Reality substantial to the world of things and lives and minds."" With great wit and stunning intellect, Aldous Huxley examines the spiritual beliefs of various religious traditions and explains them in terms that are personally meaningful.",2004,4.23,336,2959
A Crack in the Edge of the World,America and the Great California Earthquake of 1906,Simon Winchester,History,http://books.google.com/books/content?id=St5QRRhkp1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Unleashed by ancient geologic forces, a magnitude 8.25 earthquake rocked San Francisco in the early hours of April 18, 1906. Less than a minute later, the city lay in ruins. Bestselling author Simon Winchester brings his inimitable storytelling abilities to this extraordinary event, exploring the legendary earthquake and fires that spread horror across San Francisco and northern California in 1906 as well as its startling impact on American history and, just as important, what science has recently revealed about the fascinating subterranean processes that produced it?봞nd almost certainly will cause it to strike again.",2006,3.78,419,5242
Dead Witch Walking,,Kim Harrison,Fiction,http://books.google.com/books/content?id=KW1YBk2wPlIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"All the creatures of the night gather in ""the Hollows"" of Cincinnati, to hide, to prowl, to party ... and to feed. Vampires rule the darkness in a predator-eat-predator world rife with dangers beyond imagining -- and it?셲 Rachel Morgan's job to keep that world civilized. A bounty hunter and witch with serious sex appeal and an attitude, she'll bring 'em back alive, dead ... or undead.",2004,4.04,416,97105
"The Good, the Bad, and the Undead",,Kim Harrison,Fiction,http://books.google.com/books/content?id=-hBqywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It's a tough life for witch Rachel Morgan, sexy, independent bounty hunter, prowling the darkest shadows of downtown Cincinnati for criminal creatures of the night. She can handle the leather-clad vamps and even tangle with a cunning demon or two. But a serial killer who feeds on the experts in the most dangerous kind of black magic is definitely pressing the limits. Confronting an ancient, implacable evil is more than just child's play -- and this time, Rachel will be lucky to escape with her very soul.",2005,4.26,453,53112
"Men Are from Mars, Women Are from Venus",The Classic Guide to Understanding the Opposite Sex,John Gray,Family & Relationships,http://books.google.com/books/content?id=MUw_dAtcRjEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Rediscover the most famous relationship book ever published Once upon a time Martians and Venusians met, fell in love, and had happy relationships together because they respected and accepted their differences. Then they came to Earth and amnesia set in: they forgot they were from different planets. Based on years of successful counseling of couples and individuals, Men Are from Mars, Women Are from Venus has helped millions of couples transform their relationships. Now viewed as a modern classic, this phenomenal book has helped men and women realize how different they can be in their communication styles, their emotional needs, and their modes of behavior?봞nd offers the secrets of communicating without conflicts, allowing couples to give intimacy every chance to grow.",2004,3.54,368,126108
Sabriel (adult),,Garth Nix,Fiction,http://books.google.com/books/content?id=ugSPY6Gi_Y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sabriel, daughter of the necromancer Abhorsen, must journey into the mysterious and magical Old Kingdom to rescue her father from the Land of the Dead.",2004,4.17,311,1296
Slouching Toward Nirvana,New Poems,Charles Bukowski,Poetry,http://books.google.com/books/content?id=L_7nlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"in this place there are the dead, the deadly and the dying. there is the cross, the builders of the cross and the burners of the cross. the pattern of my life forms like a cheap shadow on the wall before me. my love what is left of it now must crawl to wherever it can crawl. the strongest know that death is final and the happiest are those gifted with the shortest journey.",2006,3.99,288,1901
Bad Childhood---Good Life,How to Blossom and Thrive in Spite of an Unhappy Childhood,Laura Schlessinger,Self-Help,http://books.google.com/books/content?id=2sepdlitBW8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Exploring how the past influences the present, the author discusses how to understand each individual's unique coping style and how to tap into the extraordinary quality of human spirit that will create the transition from victim to victor.",2006,3.92,272,502
Cat Cross Their Graves,A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,http://books.google.com/books/content?id=L7LudFEjAdoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The beautiful, serene village of Molena Point, California is the type of place where people go to get away from the harsher realities of life?볛뱖hich is what attracted classic film star Patty Rose to buy the village inn, and settle down to enjoy her golden years. But as the town gathers to celebrate and honor the beautiful, aging actress with a festival of her old films, Patty is brutally murdered?볛뱓o the horror and shock of this peaceful burg. A gentle tortoiseshell cat, Kit, has been enjoying a retreat to the animal?뱇oving actress's inn, where she's spending time with her feline friends Dulcie, and the slick tomcat sleuth, Joe Grey. But her relaxation is cut short when she hears the gunshots that end Patty's life, and sees her dead body sprawled on the inn's front steps. She glimpses the killer racing into the parking garage, and soon follows his trail. Joe and Dulcie must now follow the na챦ve Kit's trail, and keep her from getting into serious trouble. To complicate matters, Joe discovers that Dulcie has been hiding a runaway child?볛뱋ne of the lucky humans that these special cats choose to talk to?볛뱖ho has now been kidnapped, likely by the same man who killed their famous friend. In the end, the little girl's abduction leads them to Patty's killer, and the feline friends are all united?볛밷ut they all must mourn a departed friend as they stand beside the newly laid grave of Patty Rose.",2005,4.3,385,481
Cat Breaking Free,A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,http://books.google.com/books/content?id=-yFbmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The fur starts flying when a gang from L.A. comes up to tranquil Molena Point, California, and begins breaking into the village's quaint shops. The fur of Joe Grey, Feline P.I., that is. After all, Molena Point has been his home since he was a kitten eating scraps from the garbage behind the local delicatessen, and he doesn't take well to marauding strangers. Joe even wonders whether the blonde who's moved into next to his human companion Clyde could be a part of the gang?볛뱒he's been acting pretty suspicious lately. But when the strangers start trapping and caging feral cats?볛뱒peaking cats like Joe and his girlfriend Dulcie?볛밿t proves too much for the intrepid four?밼ooted detective. And when one of the gang is murdered, and a second mysterious death comes to light, he has no choice but to try to stop the crimes. Joe, Dulcie, and their tattercoat friend Kit, who used to be a stray herself, are deep into the investigation when they are able to release the three trapped cats. But as Kit leads them away to freedom, will she herself return to that wild life?",2006,4.2,375,204
Slider,A Novel,Patrick Robinson,Sports & Recreation,http://books.google.com/books/content?id=MCK_lgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Each summer, on the fields of glorious Cape Marlin, off the New England coast, the nation's best college players gather to play the most important baseball of their lives. Jack Faber is a young hotshot pitcher with an unhittable slider and a rocket for a fastball. He plays for the fabled Seapuit Seawolves and dreams of making the Big Show. But a new coach, the scowling Bruno Riazzi, a former pro catcher, resents the kid's celebrity status and decides to knock him down a peg or two. And he stops at nothing to make it happen. Humiliated, Jack loses his lifelong art, and with it his passion for the game, as well as, mysteriously, his ability to throw. A devastated Jack Faber is released from the St. Charles College roster. But the Seawolves coaches won't give up on him. They bring Jack back to Cape Marlin, determined to help him rediscover his lost talent. He finds himself again under the summer sun, coaches and old friends standing by him. But in the end it will be up to Jack. Based on a true story, Slider celebrates the national pastime, a game that can break grown men's hearts -- as well as make them whole again.",2004,4.18,416,64
The Black Dahlia Files,"The Mob, the Mogul, and the Murder That Transfixed Los Angeles",Don Wolfe,True Crime,http://books.google.com/books/content?id=F6PpPrKuUaMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1946, Elizabeth Short traveled to Hollywood to become famous and see her name up in lights. Instead, the dark-haired beauty became immortalized in the headlines as the ""Black Dahlia"" when her nude and bisected body was discovered in the weeds of a vacant lot. Despite the efforts of more than four hundred police officers and homicide investigators, the heinous crime was never solved. Now, after endless speculation and false claims, bestselling author Donald H. Wolfe discovers startling new evidence?봟uried in the files of the Los Angeles District Attorney's Office for more than half a century. With the aid of archival photos, news clippings, and investigative reports, Wolfe documents the riveting untold story that names the brutal murderer?봳he notorious Mafia leader, Benjamin ""Bugsy"" Siegel?봞nd the motive?봞n unwanted pregnancy resulting from Short's involvement with the most powerful figure in Los Angeles, Norman Chandler. But Wolfe goes even further to unravel the large-scale cover-up behind the case. Wolfe's extensive research, based on the evidence he discovered in the recently opened LADA files, makes The Black Dahlia Files the authoritative work on the murder that has drawn endless scrutiny but remained unsolved?봴ntil now.",2006,3.84,448,600
Metro Girl,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=X0OYbJSjxqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Alexandra (Barney) Barnaby roars onto the Miami Beach scene in hot pursuit of her missing baby brother, ""Wild"" Bill. Leave it to the maverick of the family to get Barney involved with high-speed car chases, a search for sunken treasure, and Sam Hooker, a NASCAR driver who?셲 good at revving a woman's engine. Engaged in a deadly race, Bill has ""borrowed"" Hooker's sixty-five-foot Hatteras and sailed off into the sunset...just when Hooker has plans for the boat. Hooker figures he'll attach himself to Barney and maybe run into scumbag Bill. And better yet, maybe he'll get lucky in love with Bill's sweetie pie sister. The pedal will have to go to metal if Barney and Hooker want to be the first to cross the finish line, save Bill, Hooker's boat...and maybe the world.",2005,3.62,374,28414
Motor Mouth,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=mG5p4QA2zOwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Alexandra ""Barney"" Barnaby returns to take on a whole new set of bad guys, Florida heat, colorful and dangerous characters, and high-stakes adventure, all the while romancing gorgeous race car driver Sam Hooker, in an action-packed sequel to Metro Girl. 1,000,000 first printing.",2006,3.67,312,21885
Mystic River,,Dennis Lehane,Fiction,http://books.google.com/books/content?id=2U-ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.",2003,4.18,416,105317
Great Short Works of Herman Melville,,Herman Melville,Fiction,http://books.google.com/books/content?id=6WgbDCDIe-QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Billy Budd, Sailor and Bartleby, the Scrivener are two of the most revered shorter works of fiction in history. Here, they are collected along with 19 other stories in a beautifully redesigned collection that represents the best short work of an American master.As Warner Berthoff writes in his introduction to this volume, ""It is hard to think of a major novelist or storyteller who is not also a first-rate entertainer . . . a master, according to choice, of high comedy, of one or another robust species of expressive humour, or of some special variety of the preposterous, the grotesque, the absurd. And Melville, certainly, is no exception. A kind of vigorous supervisory humour is his natural idiom as a writer, and one particular attraction of his shorter work is the fresh further display it offers of this prime element in his literary character.""",2004,4.02,512,401
The Day I Swapped My Dad for Two Goldfish,,Neil Gaiman,Juvenile Fiction,http://books.google.com/books/content?id=6EqMPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""I'll swap you my dad,"" I said. ""Oh-oh,"" said my little sister. What if you wanted your best friend's two goldfish so much that you'd swap anything for them, even your father? What if your mother came home and found out what you'd done?",2006,4.03,64,280
Eleven Minutes,A Novel,Paulo Coelho,Fiction,http://books.google.com/books/content?id=Qp0EZu3GCYsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Eleven Minutes is the story of Maria, a young girl from a Brazilian village, whose first innocent brushes with love leave her heartbroken. At a tender age, she becomes convinced that she will never find true love, instead believing that ""love is a terrible thing that will make you suffer. . . ."" A chance meeting in Rio takes her to Geneva, where she dreams of finding fame and fortune. Maria's despairing view of love is put to the test when she meets a handsome young painter. In this odyssey of self-discovery, Maria has to choose between pursuing a path of darkness -- sexual pleasure for its own sake -- or risking everything to find her own ""inner light"" and the possibility of sacred sex, sex in the context of love. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,3.69,273,114826
Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M. Pirsig,Psychology,http://books.google.com/books/content?id=KMRReyLPyXMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most important and influential books written in the past half-century, Robert M. Pirsig's Zen and the Art of Motorcycle Maintenance is a powerful, moving, and penetrating examination of how we live . . . and a breathtaking meditation on how to live better. Here is the book that transformed a generation: an unforgettable narration of a summer motorcycle trip across America's Northwest, undertaken by a father and his young son. A story of love and fear -- of growth, discovery, and acceptance -- that becomes a profound personal and philosophical odyssey into life's fundamental questions, this uniquely exhilarating modern classic is both touching and transcendent, resonant with the myriad confusions of existence . . . and the small, essential triumphs that propel us forward.",2006,3.77,540,157734
Ulysses S. Grant,The Unlikely Hero,Michael Korda,Biography & Autobiography,http://books.google.com/books/content?id=rvaqxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the first two volumes in Harper's Eminent Lives series, Korda brings his acclaimed storytelling talents to the life of Ulysses S. Grant ??a man who managed to end the Civil War on a note of grace, serve two terms as president, write one of the most successful military memoirs in American literature, and is today remembered as a brilliant general but a failed president. Ulysses S. Grant was the first officer since George Washington to become a four?뱒tar general in the United States Army, and the only president between Andrew Jackson and Woodrow Wilson to serve eight consecutive years in the White House. In this succinct and vivid biography, Michael Korda considers Grant's character and reconciles the conflicting evaluations of his leadership abilities. Grant's life played out as a true Horatio Alger story. Despite his humble background as the son of a tanner in Ohio, his lack of early success in the army, and assorted failed business ventures, his unwavering determination propelled him through the ranks of military leadership and into the presidency. But while the general's tenacity and steadfastness contributed to his success on the battlefield, it both aided and crippled his effectiveness in the White House. Assessing Grant both within the context of his time and in contrast to more recent American leaders, Korda casts a benevolent eye on Grant's presidency while at the same time conceding his weaknesses. He suggests that though the general's second term ended in financial and political scandals, the fact remains that for eight years Grant exerted a calming influence on a country that had only just emerged from a horrendous civil war. Ulysses S. Grant is an even?밾anded and stirring portrait of a man who guided America through a pivotal juncture in its history.",2004,3.88,176,410
A Dirty Job,A Novel,Christopher Moore,Fiction,http://books.google.com/books/content?id=W8EPgwEP_hoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Charlie Asher is a pretty normal guy. A little hapless, somewhat neurotic, sort of a hypochondriac. He's what's known as a Beta Male: the kind of fellow who makes his way through life by being careful and constant -- you know, the one who's always there to pick up the pieces when the girl gets dumped by the bigger/taller/stronger Alpha Male. But Charlie's been lucky. He owns a building in the heart of San Francisco, and runs a secondhand store with the help of a couple of loyal, if marginally insane, employees. He's married to a bright and pretty woman who actually loves him for his normalcy. And she, Rachel, is about to have their first child. Yes, Charlie's doing okay for a Beta. That is, until the day his daughter, Sophie, is born. Just as Charlie -- exhausted from the birth -- turns to go home, he sees a strange man in mint-green golf wear at Rachel's hospital bedside, a man who claims that no one should be able to see him. But see him Charlie does, and from here on out, things get really weird. . . . People start dropping dead around him, giant ravens perch on his building, and it seems that everywhere he goes, a dark presence whispers to him from under the streets. Strange names start appearing on his nightstand notepad, and before he knows it, those people end up dead, too. Yup, it seems that Charlie Asher has been recruited for a new job, an unpleasant but utterly necessary one: Death. It's a dirty job. But hey, somebody's gotta do it. Christopher Moore, the man whose Lamb served up Jesus' ""missing years"" (with the funny parts left in), and whose Fluke found the deep humor in whale researchers' lives, now shines his comic light on the undiscovered country we all eventually explore -- death and dying -- and the results are hilarious, heartwarming, and a hell of a lot of fun.",2006,4.07,387,88016
